name,kind,family,version,path,scope
applied-soft-computing-writing,journal-adapter,elsevier,0.5.0,skills/applied-soft-computing-writing,"fuzzy systems, evolutionary computation, neural/soft-computing applications."
artificial-intelligence-medicine-writing,journal-adapter,elsevier,0.5.0,skills/artificial-intelligence-medicine-writing,"AI methods for medical decision support, clinical data, diagnostic/prognostic modeling, and interpretability."
artificial-intelligence-writing,journal-adapter,elsevier,0.5.0,skills/artificial-intelligence-writing,"foundational AI, reasoning, planning, learning, agents."
biomedical-signal-processing-control-writing,journal-adapter,elsevier,0.5.0,skills/biomedical-signal-processing-control-writing,"biomedical signal analysis, control, sensors, physiological signals, and clinical engineering validation."
cmpb-writing,journal-adapter,elsevier,0.5.0,skills/cmpb-writing,"biomedical software, methods, computational systems, validation, and reproducible implementations."
computer-speech-language-writing,journal-adapter,elsevier,0.5.0,skills/computer-speech-language-writing,"speech processing, NLP, language technology, dialogue, ASR/TTS, and linguistic evaluation."
computers-biology-medicine-writing,journal-adapter,elsevier,0.5.0,skills/computers-biology-medicine-writing,"computational methods for biology, medicine, diagnostics, biomedical data, and translational validation."
cviu-writing,journal-adapter,elsevier,0.5.0,skills/cviu-writing,"computer vision, image understanding, scene analysis, perception systems."
data-knowledge-engineering-writing,journal-adapter,elsevier,0.5.0,skills/data-knowledge-engineering-writing,"data management, knowledge representation, databases, reasoning, information systems, and semantic methods."
decision-support-systems-writing,journal-adapter,elsevier,0.5.0,skills/decision-support-systems-writing,"decision analytics, intelligent decision systems, recommender/optimization support, and organizational value."
eaai-writing,journal-adapter,elsevier,0.5.0,skills/eaai-writing,"AI methods with engineering application value, validation, deployment constraints, and practical impact."
elsevier-ablation-study,core,elsevier,0.5.0,skills/elsevier-ablation-study,"ablation design, component-level evidence, sensitivity analysis, and mechanism validation."
elsevier-abstract,core,elsevier,0.5.0,skills/elsevier-abstract,"abstract drafting, compression, claim discipline, and contribution evidence alignment."
elsevier-abstract-keywords,core,elsevier,0.5.0,skills/elsevier-abstract-keywords,"abstract, keywords, contribution compression, and discoverability for Elsevier submissions."
elsevier-ai-disclosure-integrity,core,elsevier,0.5.0,skills/elsevier-ai-disclosure-integrity,"AI-assisted writing transparency, originality, citation integrity, and author-responsibility reminders."
elsevier-algorithm-pseudocode,core,elsevier,0.5.0,skills/elsevier-algorithm-pseudocode,"algorithm boxes, pseudocode, complexity notes, and stepwise method communication."
elsevier-appendix,core,elsevier,0.5.0,skills/elsevier-appendix,"appendices, extended derivations, extra tables, and material that should not interrupt the main paper."
elsevier-author-agreement,core,elsevier,0.5.0,skills/elsevier-author-agreement,"publishing agreement readiness, author rights reminders, copyright form/license route, and post-acceptance decisions."
elsevier-author-contribution,core,elsevier,0.5.0,skills/elsevier-author-contribution,"author contribution statements, accountability, approval, and corresponding-author coordination."
elsevier-baseline-selection,core,elsevier,0.5.0,skills/elsevier-baseline-selection,"baseline choice, reimplementation fairness, hyperparameter disclosure, and comparison scope."
elsevier-caption,core,elsevier,0.5.0,skills/elsevier-caption,"figure and table captions, legends, abbreviation expansion, symbol explanation, and standalone interpretability."
elsevier-checklist-risk-register,core,elsevier,0.5.0,skills/elsevier-checklist-risk-register,"pre-submission checklist, reviewer-risk register, desk-rejection risk, and issue prioritization."
elsevier-citation,core,elsevier,0.5.0,skills/elsevier-citation,"citation, reference style, and claim-source audit."
elsevier-competing-interest,core,elsevier,0.5.0,skills/elsevier-competing-interest,"competing-interest declarations, editorial role conflicts, financial relationships, and disclosure completeness."
elsevier-component-router,router,elsevier,0.5.0,skills/elsevier-component-router,"detect manuscript components such as table, figure, caption, related work, method, experiment, ablation, references, declarations, and route them to the correct component skills. Use for Elsevier AI, computer vision, pattern recognition, expert systems, information science, and medical AI journals."
elsevier-conclusion,core,elsevier,0.5.0,skills/elsevier-conclusion,"conclusion concision, contribution recap, implications, and no-new-claim discipline."
elsevier-contribution-positioning,core,elsevier,0.5.0,skills/elsevier-contribution-positioning,"contribution statements, novelty claims, conference-extension delta, and reviewer-facing positioning."
elsevier-copyright-license,core,elsevier,0.5.0,skills/elsevier-copyright-license,"copyright, license options, figure/table reuse permissions, and rights-risk audit."
elsevier-cover-letter,core,elsevier,0.5.0,skills/elsevier-cover-letter,submission cover letter for Elsevier journals.
elsevier-cover-letter-fit-statement,core,elsevier,0.5.0,skills/elsevier-cover-letter-fit-statement,"cover letter, scope fit statement, novelty framing, prior-publication disclosure, and editor-facing summary."
elsevier-crediT-author-statement,core,elsevier,0.5.0,skills/elsevier-crediT-author-statement,"CRediT author roles, contribution disclosure, author accountability, and submission package alignment."
elsevier-data-availability,core,elsevier,0.5.0,skills/elsevier-data-availability,"data/code availability statement, repository hygiene, reproducibility assets, and restrictions."
elsevier-data-code-availability,core,elsevier,0.5.0,skills/elsevier-data-code-availability,"data/code availability, artifact links, reproducibility statements, repository hygiene, and license clarity."
elsevier-dataset-protocol,core,elsevier,0.5.0,skills/elsevier-dataset-protocol,"dataset description, preprocessing, train/validation/test splits, leakage control, and benchmark protocol."
elsevier-declaration-package,core,elsevier,0.5.0,skills/elsevier-declaration-package,"Elsevier declarations package, competing interests, funding, AI, ethics, data, and supplementary declarations."
elsevier-declarations,core,elsevier,0.5.0,skills/elsevier-declarations,"declarations, ethics prompts, competing interests, funding, author contributions, and acknowledgements checklist."
elsevier-discussion,core,elsevier,0.5.0,skills/elsevier-discussion,"discussion section interpretation, implications, comparison to prior work, and evidence-bounded claims."
elsevier-editorial-screening,core,elsevier,0.5.0,skills/elsevier-editorial-screening,"desk-rejection risk, journal scope, novelty, completeness, ethics, and submission-package audit."
elsevier-equation,core,elsevier,0.5.0,skills/elsevier-equation,"equation formatting, notation consistency, numbered equations, and mathematical readability."
elsevier-ethics-limitations,core,elsevier,0.5.0,skills/elsevier-ethics-limitations,"ethics, limitations, dataset bias, deployment caveats, medical/biological/social risk checks."
elsevier-experimental-design,core,elsevier,0.5.0,skills/elsevier-experimental-design,"experiment plan, validation logic, dataset split, protocol, controls, and fairness of comparisons."
elsevier-figure,core,elsevier,0.5.0,skills/elsevier-figure,"figures, panels, visual evidence, resolution/readability, accessibility, and text-reference order."
elsevier-figure-table,core,elsevier,0.5.0,skills/elsevier-figure-table,"figures, tables, captions, graphical abstract readiness."
elsevier-final-production-files,core,elsevier,0.5.0,skills/elsevier-final-production-files,"accepted-paper final files, source files, graphics, tables, author photos, and production handoff."
elsevier-funding-acknowledgment,core,elsevier,0.5.0,skills/elsevier-funding-acknowledgment,"funding statement, grant identifiers, sponsor role, and acknowledgment placement."
elsevier-graphical-abstract,core,elsevier,0.5.0,skills/elsevier-graphical-abstract,"graphical abstract concept, layout, and captionless visual plan."
elsevier-graphical-abstract-brief,core,elsevier,0.5.0,skills/elsevier-graphical-abstract-brief,"Elsevier graphical abstract brief, visual message, permissions, file requirements, and GenAI artwork restrictions."
elsevier-graphical-abstract-file,core,elsevier,0.5.0,skills/elsevier-graphical-abstract-file,"separate graphical abstract file planning, size/readability checks, permissions, and upload package integration."
elsevier-highlights,core,elsevier,0.5.0,skills/elsevier-highlights,3–5 bullet highlights for Elsevier submissions.
elsevier-highlights-line-edit,core,elsevier,0.5.0,skills/elsevier-highlights-line-edit,"Elsevier highlights, 3-5 bullet elevator pitch, novelty/result compression, and character-limit checking."
elsevier-introduction,core,elsevier,0.5.0,skills/elsevier-introduction,"introduction framing, problem-gap-contribution logic, and audience fit."
elsevier-introduction-related-work,core,elsevier,0.5.0,skills/elsevier-introduction-related-work,"application-aware motivation, literature positioning, and contribution framing."
elsevier-journal-router,router,elsevier,0.5.0,skills/elsevier-journal-router,"detect target journals and route to the correct independent journal adapter while preserving publisher-family boundaries and official URL checks. Use for Elsevier AI, computer vision, pattern recognition, expert systems, information science, and medical AI journals."
elsevier-keywords,core,elsevier,0.5.0,skills/elsevier-keywords,"Elsevier keyword selection, discoverability, and terminology consistency."
elsevier-latex-template-audit,core,elsevier,0.5.0,skills/elsevier-latex-template-audit,"elsarticle-style source package, references, highlights, graphical abstract, and submission files."
elsevier-limitations,core,elsevier,0.5.0,skills/elsevier-limitations,"honest limitations, failure cases, boundary conditions, ethics, and future work without self-sabotage."
elsevier-method-details,core,elsevier,0.5.0,skills/elsevier-method-details,"method section completeness, implementation clarity, architectural motivation, and reproducibility details."
elsevier-method-experiment,core,elsevier,0.5.0,skills/elsevier-method-experiment,"method exposition, experimental settings, baseline fairness, statistics, and reproducibility."
elsevier-metrics-evaluation,core,elsevier,0.5.0,skills/elsevier-metrics-evaluation,"metric selection, evaluation definitions, reporting precision, and interpretation boundaries."
elsevier-official-source-audit,core,elsevier,0.5.0,skills/elsevier-official-source-audit,"mapping workflow rules to Elsevier Guide for Authors, target journal instructions, LaTeX/source-package guidance, Highlights, Graphical Abstract, declarations, and GenAI policy checkpoints before making submission-readiness claims."
elsevier-open-access-decision,core,elsevier,0.5.0,skills/elsevier-open-access-decision,"open access route, funder mandate, license implications, APC reminder, and institutional agreement check."
elsevier-permission-reuse,core,elsevier,0.5.0,skills/elsevier-permission-reuse,"permissions for reused figures/tables/text, third-party material, CC license checks, and attribution wording."
elsevier-polishing,core,elsevier,0.5.0,skills/elsevier-polishing,Elsevier-style technical polishing and package consistency.
elsevier-preprint-prior-publication,core,elsevier,0.5.0,skills/elsevier-preprint-prior-publication,"preprint status, prior conference version disclosure, simultaneous submission, and overlap audit."
elsevier-problem-formulation,core,elsevier,0.5.0,skills/elsevier-problem-formulation,"problem definition, assumptions, input-output contract, variables, constraints, and task setup."
elsevier-proof-correction,core,elsevier,0.5.0,skills/elsevier-proof-correction,"proof review, correction discipline, author queries, metadata checks, and post-acceptance risk control."
elsevier-reference-integrity,core,elsevier,0.5.0,skills/elsevier-reference-integrity,"reference completeness, citation order, related-work coverage, and anti-fabrication checks."
elsevier-related-work,core,elsevier,0.5.0,skills/elsevier-related-work,"related work taxonomy, prior-art contrast, citation positioning, and novelty boundaries."
elsevier-research-data-statement,core,elsevier,0.5.0,skills/elsevier-research-data-statement,"Elsevier research data statement, data linking, repository choice, and data availability wording."
elsevier-response,core,elsevier,0.5.0,skills/elsevier-response,response to reviewers for Elsevier journals.
elsevier-results-reporting,core,elsevier,0.5.0,skills/elsevier-results-reporting,"results narrative, table/figure coordination, statistical strength, and non-cherry-picked reporting."
elsevier-reviewer,core,elsevier,0.5.0,skills/elsevier-reviewer,pre-submission review for Elsevier journals.
elsevier-reviewer-response-matrix,core,elsevier,0.5.0,skills/elsevier-reviewer-response-matrix,"point-by-point response matrix, editor letter alignment, change tracking, and tone control."
elsevier-revision-diff,core,elsevier,0.5.0,skills/elsevier-revision-diff,"revision plan, manuscript change log, response evidence, and clean/marked manuscript coordination."
elsevier-revision-strategy,core,elsevier,0.5.0,skills/elsevier-revision-strategy,"reviewer response strategy, experiment triage, revised manuscript change plan, and cover letter update."
elsevier-skill-suite,router,elsevier,0.5.0,skills/elsevier-skill-suite,"route manuscript requests across journal adapters, component skills, submission-policy skills, official-source audits, and compact/full suite installation modes. Use for Elsevier AI, computer vision, pattern recognition, expert systems, information science, and medical AI journals."
elsevier-statistical-reporting,core,elsevier,0.5.0,skills/elsevier-statistical-reporting,"confidence intervals, variance, significance testing, robustness, and repeated-run reporting."
elsevier-statistical-significance,core,elsevier,0.5.0,skills/elsevier-statistical-significance,"statistical tests, confidence intervals, robustness, multi-run reporting, and effect-size interpretation."
elsevier-submission-highlights-file,core,elsevier,0.5.0,skills/elsevier-submission-highlights-file,"separate highlights file creation, filename convention, bullet quality, and submission package integration."
elsevier-submission-metadata,core,elsevier,0.5.0,skills/elsevier-submission-metadata,"submission portal metadata, article type, author information, declarations, and upload package checks."
elsevier-submission-package,core,elsevier,0.5.0,skills/elsevier-submission-package,pre-submission package checklist.
elsevier-submission-router,router,elsevier,0.5.0,skills/elsevier-submission-router,"route submission workflows such as cover letter, author agreement, copyright/license, open access, revision response, final files, proof correction, and official-source checks. Use for Elsevier AI, computer vision, pattern recognition, expert systems, information science, and medical AI journals."
elsevier-supplementary-files,core,elsevier,0.5.0,skills/elsevier-supplementary-files,"supplementary material organization, file captions, cross-references, and peer-review compatibility."
elsevier-table,core,elsevier,0.5.0,skills/elsevier-table,"submission-ready tables, editable table text, caption logic, notes, abbreviations, and non-duplicative presentation."
elsevier-template-paper-miner,core,elsevier,0.5.0,skills/elsevier-template-paper-miner,using the bundled CC-BY/open-access Elsevier template corpus to extract structural patterns without copying scientific content.
elsevier-theory-proof,core,elsevier,0.5.0,skills/elsevier-theory-proof,"theoretical analysis, propositions, assumptions, proof sketches, and mathematical rigor."
elsevier-title-author-metadata,core,elsevier,0.5.0,skills/elsevier-title-author-metadata,"title, author metadata, affiliations, corresponding author details, and front-matter integrity."
elsevier-visual-accessibility,core,elsevier,0.5.0,skills/elsevier-visual-accessibility,"color accessibility, figure readability, font size, grayscale safety, and accessibility-aware graphics."
elsevier-writing,core,elsevier,0.5.0,skills/elsevier-writing,Elsevier journal-family manuscript drafting.
eswa-writing,journal-adapter,elsevier,0.5.0,skills/eswa-writing,AI methods with practical decision-support or expert-system applications.
future-generation-computer-systems-writing,journal-adapter,elsevier,0.5.0,skills/future-generation-computer-systems-writing,"distributed systems, cloud/edge computing, big data infrastructure, AI systems, and performance evaluation."
image-and-vision-computing-writing,journal-adapter,elsevier,0.5.0,skills/image-and-vision-computing-writing,"image analysis, computer vision methods and applications."
information-fusion-writing,journal-adapter,elsevier,0.5.0,skills/information-fusion-writing,"multi-source information fusion, sensor fusion, multimodal learning, uncertainty, and decision fusion."
information-sciences-writing,journal-adapter,elsevier,0.5.0,skills/information-sciences-writing,"information systems, intelligent systems, data/knowledge processing."
jvcir-writing,journal-adapter,elsevier,0.5.0,skills/jvcir-writing,"visual communication, image/video representation, compression, retrieval, and media analysis."
kbs-writing,journal-adapter,elsevier,0.5.0,skills/kbs-writing,"knowledge-based AI, reasoning, decision support, data-driven intelligence."
medical-image-analysis-writing,journal-adapter,elsevier,0.5.0,skills/medical-image-analysis-writing,"medical image computing, analysis, diagnosis, clinical imaging AI."
neurocomputing-writing,journal-adapter,elsevier,0.5.0,skills/neurocomputing-writing,"neural computation, deep learning, machine learning systems."
pr-writing,journal-adapter,elsevier,0.5.0,skills/pr-writing,"pattern recognition, computer vision, machine learning, statistical recognition."
prl-writing,journal-adapter,elsevier,0.5.0,skills/prl-writing,concise pattern recognition articles and letters.
robotics-autonomous-systems-writing,journal-adapter,elsevier,0.5.0,skills/robotics-autonomous-systems-writing,"robotic autonomy, planning, control, perception, human-robot interaction, and field experiments."
signal-processing-image-communication-writing,journal-adapter,elsevier,0.5.0,skills/signal-processing-image-communication-writing,"Image Communication: image/video communication, compression, streaming, quality assessment, and media systems."
signal-processing-writing,journal-adapter,elsevier,0.5.0,skills/signal-processing-writing,"signal processing theory, algorithms, audio/image/biomedical signals, filtering, estimation, and learning-based signal models."
